date_accessed,source_name,title,url,reason,body_preview
2026-05-15 15:00,AHA,CMS releases details to download upcoming CAH payment patterns report,https://www.aha.org/news/headline/2026-05-14-cms-releases-details-download-upcoming-cah-payment-patterns-report,CMS releases details to download upcoming CAH payment patterns report; no disruption or breach reported.,"The Centers for Medicare & Medicaid Services has released details on downloading its upcoming fiscal year 2025 Program for Evaluating Payment Patterns Electronic Report, or PEPPER , for critical access hospitals. The report, set to release this month"
2026-05-15 15:00,AHA,CMS announces first 29 health care organizations to join electronic prior authorization initiative,https://www.aha.org/news/headline/2026-05-14-cms-announces-first-30-health-care-organizations-join-electronic-prior-authorization-initiative,CMS announces first 29 health care organizations to join electronic prior authorization initiative; no disruption reported.,"The Centers for Medicare & Medicaid Services May 13 announced 29 health care organizations have pledged early participation in its electronic prior authorization initiative. CMS said the organizations include health systems, electronic health record "
2026-05-15 15:00,AHA,"AMA survey shows physicians, patients continue to be heavily burdened by prior authorization",https://www.aha.org/news/headline/2026-05-14-ama-survey-shows-physicians-patients-continue-be-heavily-burdened-prior-authorization,"The American Medical Association survey shows physicians and patients continue to be burdened by the prior authorization process, but it does not describe a named healthcare entity or an operational disruption.","A majority of physicians say the prior authorization process continues to negatively impact patient outcomes and employee productivity, according to a survey released May 13 by the American Medical Association. Nearly a quarter of physicians (26%) re"
2026-05-15 15:00,AHA,"AHA Healthier Together Conference concludes with sessions on AI, person-centered care",https://www.aha.org/news/headline/2026-05-14-aha-healthier-together-conference-concludes-sessions-ai-person-centered-care,"This article describes a conference session on AI and person-centered care at the AHA Healthier Together Conference, but does not mention any disruptions or breaches at a named healthcare entity.","The AHA wrapped up its inaugural Healthier Together Conference in Dallas May 14 with a plenary session on how the application of artificial intelligence-driven tools and data insights is advancing community health. Speakers Jennifer Hall, Ph.D., chie"
2026-05-15 15:00,AHA,CMS announces 6-month enrollment moratorium on home health and hospice providers,https://www.aha.org/news/headline/2026-05-13-cms-announces-6-month-enrollment-moratorium-home-health-and-hospice-providers,"CMS announces 6-month enrollment moratorium on home health and hospice providers; no named healthcare entity is impacted, and the article does not describe a confirmed breach or operational disruption.","The Centers for Medicare & Medicaid Services today announced a six-month nationwide moratorium preventing enrollment of new home health agencies and hospice providers, effective immediately. CMS said that the moratorium is part of Vice President JD V"
2026-05-15 15:00,AHA,AHA letter to editor responds to op-ed claiming nonprofit hospitals do not meet community benefit obligations,https://www.aha.org/news/headline/2026-05-13-aha-letter-editor-responds-op-ed-claiming-nonprofit-hospitals-do-not-meet-community-benefit,"The letter responds to an op-ed claiming nonprofit hospitals do not meet community benefit obligations, but does not describe a confirmed cyberattack, breach, PHI exposure, drug shortage, device shortage, evacuation, or care stoppage at a named healthcare entity.",The Washington Post has published a letter to the editor by AHA President and CEO Rick Pollack responding to a May 4 op-ed accusing nonprofit hospitals of not fully meeting their community benefit requirements. The letter states: “In addition to the 
2026-05-15 15:00,AHA,Blog details why Anthem policy limits access to care,https://www.aha.org/news/headline/2026-05-13-blog-details-why-anthem-policy-limits-access-care,"Anthem's nonparticipating provider policy limits access to care and overreaches its enforcement, but does not describe a confirmed cyberattack, breach, PHI exposure, drug shortage, device shortage, evacuation, or care stoppage at a named healthcare entity.","A blog by Noah Isserman, AHA director of health insurance and coverage policy, explains why Anthem’s nonparticipating provider policy limits patients’ access to care and overreaches its enforcement. The blog also raises questions about Anthem’s motiv"
2026-05-15 15:00,AHA,"AHA urges Lilly to drop 340B claims-data policy, proposes neutral clearinghouse",https://www.aha.org/news/headline/2026-05-13-aha-urges-lilly-drop-340b-claims-data-policy-proposes-neutral-clearinghouse,"The AHA urges Lilly to drop its 340B claims-data policy, proposing a neutral clearinghouse instead.","The AHA today urged Eli Lilly to abandon its 340B Drug Pricing Program claims-data policy and work with the AHA to develop a functional third-party clearinghouse. “Lilly’s policy is unprecedented,” AHA President and CEO Rick Pollack wrote in a letter"
2026-05-15 15:00,AHA,AHA to mark 10th #HAVhope Friday in June,https://www.aha.org/news/headline/2026-05-13-aha-mark-10th-havhope-friday-june,"This article is about the AHA's #HAVhope National Day of Awareness, which marks 10 years of dedication to challenging violence in and around hospitals and health systems. There is no mention of a healthcare disruption or breach at a named entity.",Join the AHA June 5 to recognize the Hospitals Against Violence initiative’s #HAVhope National Day of Awareness. The date marks 10 years of dedication to challenging violence in and around hospitals and health systems. A new AHA flyer highlights ways
2026-05-15 15:00,AHA,Old Dominion singer highlights importance of supporting hospital workers with music during National Hospital Week,https://www.aha.org/news/headline/2026-05-13-old-dominion-singer-highlights-importance-supporting-hospital-workers-music-during-national-hospital,This article does not describe a confirmed healthcare disruption or breach at a named healthcare entity. It is about supporting hospital workers with music during National Hospital Week.,"In a video , Matthew Ramsey, lead singer of the country band Old Dominion, explains why it is as meaningful for the band to play their music in support of hospital staff and caregivers as it is for patients. It is the latest installment of the AHA’s "
2026-05-15 15:00,AHA,"Healthier Together Conference attendees explore best practices, real-world solutions to improve health outcomes for all",https://www.aha.org/news/headline/2026-05-13-healthier-together-conference-attendees-explore-best-practices-real-world-solutions-improve-health,"This article does not describe a confirmed healthcare disruption or breach at a named healthcare entity. It focuses on a conference with no mention of operational disruptions, cyberattacks, natural disasters, or supply shortages.","The convening of 600 leaders from hospitals, health systems, and community and public health organizations continued for a full-day schedule at the AHA Healthier Together Conference in Dallas. Attendees participated in pre-conference workshops, break"
2026-05-15 15:00,AHA,AHA Healthier Together Conference focuses on community-driven solutions,https://www.aha.org/news/headline/2026-05-12-aha-healthier-together-conference-focuses-community-driven-solutions,The article does not describe a confirmed healthcare disruption or breach at a named healthcare entity. It focuses on the AHA Healthier Together Conference and its goals.,"More than 600 people gathered May 12 in Dallas for the American Hospital Association’s inaugural Healthier Together Conference , which opened with remarks from Marc Boom, M.D., president and CEO of Houston Methodist and chair of the AHA Board of Trus"
2026-05-15 15:00,AHA,Webinar to provide overview of CMS FY 2027 IPPS proposed rule,https://www.aha.org/news/headline/2026-05-12-webinar-provide-overview-cms-fy-2027-ipps-proposed-rule,"This article describes a proposed rule change from the Centers for Medicare & Medicaid Services, but does not mention any disruptions or breaches at a named healthcare entity.","The AHA will host a webinar May 21 at 1 p.m. ET on key proposed changes to the fiscal year 2027 inpatient prospective payment system from the Centers for Medicare & Medicaid Services. The session, which will be tailored to professionals in medical co"
2026-05-15 15:00,AHA,HHS launches competition to support community care hubs working with health care providers,https://www.aha.org/news/headline/2026-05-12-hhs-launches-competition-support-community-care-hubs-working-health-care-providers,"The Department of Health and Human Services Administration for Community Living has launched a competition to support community care networks, but this is not a disruption or breach at a named healthcare entity.","The Department of Health and Human Services Administration for Community Living has launched the first phase of its Health at Home Challenge , a competition to support community care networks that have partnered with health care providers supporting "
2026-05-15 15:00,AHA,MACPAC calls for increased transparency on AI-supported prior authorization,https://www.aha.org/news/headline/2026-05-12-macpac-calls-increased-transparency-ai-supported-prior-authorization,"The article discusses recommendations from the MACPAC for increased transparency on AI-supported prior authorization, but does not describe a confirmed cyberattack, breach, or operational disruption at a named healthcare entity.",The Medicaid and CHIP Payment and Access Commission approved recommendations it will issue to Congress in its June report on oversight and increased transparency of artificial intelligence usage for prior authorization. The commission recommended tha
2026-05-15 15:00,AHA,CDC issues advisory on hantavirus cluster linked to cruise ship,https://www.aha.org/news/headline/2026-05-11-cdc-issues-advisory-hantavirus-cluster-linked-cruise-ship,"The Centers for Disease Control and Prevention has issued an advisory on a hantavirus cluster linked to a cruise ship, but the risk of broad spread to the U.S. is currently extremely unlikely.","The Centers for Disease Control and Prevention released a Health Alert Network Health Advisory May 8 notifying clinicians and health departments of the potential for imported cases of hantavirus disease, but said the risk of broad spread to the U.S. "
2026-05-15 15:00,AHA,Five programs honored with 2026 AHA Dick Davidson NOVA Award,https://www.aha.org/news/headline/2026-05-11-five-programs-honored-2026-aha-dick-davidson-nova-award,"The article describes award-winning programs for improving community health, but does not mention any disruptions or breaches at named healthcare entities.","The AHA May 11 announced five winners of the 2026 Dick Davidson NOVA Award for their efforts in improving community health. The programs are the Juvenile Justice Collaborative, Ann and Robert H. Lurie Children’s Hospital of Chicago; Pediatric Access "
2026-05-15 15:00,AHA,Musicians send thank-you to caregivers during National Hospital Week,https://www.aha.org/news/headline/2026-05-11-musicians-send-thank-you-caregivers-during-national-hospital-week,The article does not describe a confirmed healthcare disruption or breach at a named healthcare entity.,"In honor of National Hospital Week , the AHA is again teaming up with Musicians On Call to send messages of support from singers and songwriters to hospital and health system workers and leaders around the country. In this week’s first installment , "
2026-05-15 15:00,AHA,AHA podcast: Healing Trauma From Violence,https://www.aha.org/news/headline/2026-05-11-aha-podcast-healing-trauma-violence,This article does not describe a confirmed healthcare disruption or breach at a named healthcare entity.,"Elinore Kaufman, M.D., medical director of the Penn Trauma Violence Recovery Program, and Michele Volpe, chief operating officer of the University of Pennsylvania Health System, share how hospital-based violence intervention programs are helping pati"
2026-05-15 15:00,AHA,"Chair File: Hospitals Integrate Behavioral Health Care, Provide Hope and Healing",https://www.aha.org/news/chairpersons-file/2026-05-11-chair-file-hospitals-integrate-behavioral-health-care-provide-hope-and-healing,This article does not describe a confirmed healthcare disruption or breach at a named healthcare entity.,"Behavioral health is a crucial component of overall health and well-being, and we see the need and demand for behavioral health care services increasing for people of all ages. The AHA joins the health care field “to elevate a conversation” about beh"
2026-05-15 15:01,AHA,FDA issues most serious recall for certain pacemaker devices by Boston Scientific,https://www.aha.org/news/headline/2026-05-08-fda-issues-most-serious-recall-certain-pacemaker-devices-boston-scientific,Boston Scientific ACCOLADE pacemakers have a Class I recall correction due to a software-related battery issue that could cause serious injury or death if not updated.,The Food and Drug Administration has issued a Class I recall correction for certain Boston Scientific ACCOLADE pacemakers and cardiac resynchronization therapy pacemakers after identifying a software-related battery issue that could cause affected de
2026-05-15 15:01,AHA,Utah measles outbreak climbs to 638 cases,https://www.aha.org/news/headline/2026-05-08-utah-measles-outbreak-climbs-638-cases,"The Utah measles outbreak has grown to 638 cases as of May 5, with 441 reported this year, but the article does not describe a named facility diverting ambulances, cancelling surgeries, or turning patients away, operating on downtime, suspending services, evacuating due to a physical event, being cut off from operations by a workforce strike, power outage, or other concrete event. The vaccination status of 92% of cases is unvaccinated or unknown, but this does not constitute an operational disruption.","The measles outbreak in Utah that began in June 2025 has grown to 638 cases as of May 5, according to the state’s Department of Health and Human Services . Of those, 441 have been reported this year. Nationally, there have been 1,842 confirmed measle"
2026-05-15 15:01,AHA,AHA Chair authors column in USA Today insert on advancing patient safety,https://www.aha.org/news/headline/2026-05-08-aha-chair-authors-column-usa-today-insert-advancing-patient-safety,"The article does not describe a confirmed cyberattack, breach, PHI exposure, drug shortage, device shortage, evacuation, or care stoppage at a named healthcare entity. It is about advancing patient safety and innovation in the healthcare industry.","USA Today published a column by AHA Board Chair Marc Boom, M.D., president and CEO of Houston Methodist, highlighting how hospitals and health systems continue to raise the bar and embrace innovation to advance patient safety. “Many of us entered hea"
