date_accessed,source_name,title,url,reason,body_preview
2026-05-12 21:10,FedScoop,GAO IDs up to $251 billion in cost savings across agencies,https://fedscoop.com/gao-annual-cost-savings-report-doge/,"The GAO report highlights potential cost savings opportunities for the federal government, but it does not describe a confirmed healthcare disruption or breach at a named entity.","When the Government Accountability Office released its 15th annual cost-savings report to Congress last year, the Trump administration and Elon Musk’s DOGE were in the midst of a wrecking-ball-esque project to overhaul federal agencies as a means to "
2026-05-12 21:10,FedScoop,CMS’ Jeneen Iwugo on agentic AI for fraud prevention,https://fedscoop.com/video/cms-jeneen-iwugo-on-agentic-ai-for-fraud-prevention/,"This article discusses the potential of agentic AI for fraud prevention in healthcare without describing a confirmed cyberattack, breach, or operational disruption at a named healthcare entity.","Jeneen Iwugo, Acting Director for the Center for Program Integrity at CMS, discusses the potential of agentic automation to streamline decision-making processes, particularly in handling claims and detecting fraud. Iwugo highlights ongoing pilots to "
2026-05-12 21:10,FedScoop,"New report highlights agency advantages of using smaller, open-source AI models",https://fedscoop.com/new-report-highlights-agency-advantages-of-using-smaller-open-source-ai-models/,"This article discusses the advantages of using smaller, open-source AI models for federal agencies, but does not describe a confirmed healthcare disruption or breach.","As federal agencies navigate the complex landscape of artificial intelligence, a new special report from Scoop News Group argues that the path to a smarter, more secure AI future lies not in large, proprietary systems but in smaller, transparent, ope"
2026-05-12 21:11,FedScoop,"US DOGE Service is alive and growing, organization official says",https://fedscoop.com/us-doge-service-alive-growing-organization-official-says/,"The USDS is expanding with a growing staff, but this does not constitute an operational disruption or breach at a named healthcare entity.","Months after confusion about its possible demise, the U.S. DOGE Service is reemerging and adding to its ranks. USDS’s Chase Ausley spoke at Tuesday’s AITalks in his capacity as both a director within the efficiency-minded White House organization and"
2026-05-12 21:11,FedScoop,"Lawmakers aim to prevent sale of veterans’ data for AI, scams",https://fedscoop.com/lawmakers-aim-to-prevent-sale-of-veterans-data-for-ai-scams/,No confirmed healthcare disruption or breach at a named entity.,"House lawmakers want to shut the door on the possibility of contractors using veterans’ data from the Department of Veterans Affairs for illicit uses, such as generating scams or training AI models beyond the agency’s purview. The Veteran Data Accoun"
2026-05-12 21:11,FedScoop,Medicare.gov to deploy ID.me for beneficiary verification,https://fedscoop.com/medicare-gov-deploy-id-me-beneficiary-verification/,"ID.me to be used for identity verification on Medicare.gov, starting in early 2026.","The Centers for Medicare & Medicaid Services has tapped ID.me to verify the identities of beneficiaries on Medicare.gov, according to a Tuesday announcement from the identity-proofing company. ID.me will be available as an option for identity verific"
2026-05-12 21:11,FedScoop,"Senate spending bill ties full VA EHR funding to updated timeline, cost estimates",https://fedscoop.com/veterans-affairs-electronic-health-record-system-rollout-oracle/,"The Senate spending bill ties full VA EHR funding to updated timeline and cost estimates, putting pressure on the agency to resolve its yearslong challenges with the rollout.","The Senate package to reopen the government places a caveat on funding for the Department of Veterans Affairs’ Electronic Health Record system, putting new pressure on the agency to resolve its yearslong challenges with the rollout. The Senate bill t"
2026-05-12 21:11,FedScoop,CMS signals interest in Palantir for national provider directory project,https://fedscoop.com/palantir-centers-for-medicare-medicaid-services-healthcare-directory-provider-prototype-hhs-cms/,"CMS is considering Palantir to support its national provider directory project, but no disruption has occurred at a named healthcare entity.",The Centers for Medicare & Medicaid Services appears to be quietly considering Palantir to support its yearslong efforts to build a national provider directory for health care providers and patients across the country. Federal spending records show P
2026-05-12 21:11,FedScoop,Identity insights are critical in preventing provider enrollment fraud for government programs,https://fedscoop.com/identity-insights-are-critical-in-preventing-provider-enrollment-fraud-for-government-programs/,"This article discusses provider enrollment fraud in Medicare and Medicaid, highlighting the importance of comprehensive identity insights to prevent such fraud. The author suggests that government agencies should leverage AI and automation to uncover hidden relationships and networks that manual investigations cannot keep pace with.","Provider fraud in Medicare and Medicaid is a persistent, complex, and costly challenge, threatening the integrity of the nation’s most vital healthcare programs. Fraudulent activities, ranging from billing for services not rendered to kickbacks to id"
2026-05-12 21:11,FedScoop,Patrick Newbold,https://fedscoop.com/bio/patrick-newbold/,"Patrick Newbold joined the Centers for Medicare & Medicaid Services in November 2024 as its CIO, but this does not describe a confirmed cyberattack, breach, PHI exposure, drug shortage, device shortage, evacuation, or care stoppage at a named healthcare entity.","Federal Leadership After stints in IT leadership roles at the Social Security Administration and NASA, Patrick Newbold joined the Centers for Medicare & Medicaid Services in November 2024 as its CIO. In this role, Newbold directs CMS’s technology str"
2026-05-12 21:11,FedScoop,Christian Hoff,https://fedscoop.com/bio/christian-hoff-2/,"Christian Hoff is a pivotal architect in the modernization of U.S. IT systems, but this article does not describe a healthcare disruption or breach.","Industry Leadership Christian Hoff is a pivotal architect in the modernization of U.S. IT systems. As director of federal civilian at Amazon Web Services, he leads initiatives that empower agencies to harness cloud and AI technologies, enhancing serv"
2026-05-12 21:11,FedScoop,Remy DeCausemaker,https://fedscoop.com/bio/remy-decausemaker/,"Remy DeCausemaker is the open source lead for the Digital Service at CMS, where he pioneers the integration of open-source practices into federal healthcare technology.","Most Inspiring Up & Comer Remy DeCausemaker is the open source lead for the Digital Service at CMS, where he pioneers the integration of open-source practices into federal healthcare technology. As the architect of CMS’s inaugural Open Source Program"
2026-05-12 21:11,FedScoop,SSA official resigns after whistleblower complaint over DOGE database,https://fedscoop.com/social-security-administration-chief-data-officer-resignation-whistleblower-complaint-doge-data-vulnerability/,"Charles Borges, the Social Security Administration’s chief data officer, resigned from the agency after alleging that Department of Government Efficiency staff compromised Americans’ personal information by using a vulnerable cloud server.","Charles Borges, the Social Security Administration’s chief data officer, resigned from the agency Friday, just days after he alleged in a whistleblower complaint that Department of Government Efficiency staff compromised Americans’ personal informati"
2026-05-12 21:12,FedScoop,Direct File died under Trump. Meet the creators planning for its second life,https://fedscoop.com/direct-file-future-of-tax-filing-fellows/,No impact detected,"In the weeks leading up to the Trump administration’s decision to kill Direct File , Merici Vinton held out a sliver of hope that the IRS’s free electronic filing tool would be spared. After all, Elon Musk said repeatedly that the goal of his nascent"
2026-05-12 21:12,FedScoop,Smart government starts with AI and cloud-driven transformation,https://fedscoop.com/smart-government-starts-with-ai-and-cloud-driven-transformation/,"This article discusses the importance of smart government and modernization, but does not describe a real healthcare disruption or breach at a named entity.","The next era of public service isn’t just about modernization; it’s about governments getting smarter. From state agencies and schools to defense and federal programs, public sector leaders are expected to operate faster, more securely, and more tran"
2026-05-12 21:12,FedScoop,"Trump administration, tech leaders launch effort aimed at improving health records",https://fedscoop.com/trump-administration-tech-leaders-launch-effort-aimed-at-improving-health-records/,"The article describes a collaborative effort between the Trump administration, tech leaders, and healthcare companies to improve digital health records, but does not mention any disruptions or breaches at named healthcare entities.","The Trump administration on Wednesday announced an initiative to improve the digital health ecosystem for patients and providers, leaning on the voluntary support of dozens of health and tech companies. More than 60 companies — including data network"
2026-05-12 21:12,FedScoop,Rep. Mace reintroduces bill to modernize VA with blockchain technology,https://fedscoop.com/nancy-mace-reintroduces-va-blockchain-bill/,Rep. Mace reintroduces bill to modernize VA with blockchain technology; no disruption reported.,"Rep. Nancy Mace, R-S.C., is renewing her push for the Department of Veterans Affairs to embrace blockchain-like technology and improve what she described as the agency’s “outdated” systems. The South Carolina Republican reintroduced the Veterans Affa"
2026-05-12 21:12,FedScoop,"HHS names new technology policy, health IT leader",https://fedscoop.com/hhs-names-new-technology-policy-health-it-leader-astp-onc/,"The article reports on a personnel change at HHS, with Thomas Keane being appointed as the agency's top technology policy official and national coordinator for health IT. There is no mention of any operational disruption or breach.","The Department of Health and Human Services on Tuesday disclosed that Thomas Keane has been tapped to serve as the agency’s top technology policy official and national coordinator for health IT. Keane, a radiologist with previous experience at HHS, i"
2026-05-12 21:12,FedScoop,Red Hat’s John Dvorak on rethinking government acquisitions with AI,https://fedscoop.com/video/red-hats-john-dvorak-on-rethinking-government-acquisitions-with-ai/,"This article discusses the potential of generative AI in government acquisitions and its application to various sectors like healthcare and cybersecurity. No named healthcare entity is mentioned, and no confirmed breach or operational disruption is reported.","John Dvorak, Chief Technology Officer for Public Sector at Red Hat, discussed the evolution of AI in government services over the past year. He highlighted the growing interest in sovereign AI, where governments control AI systems and data, and the i"
2026-05-12 21:12,FedScoop,GAO’s Lindsey Saul outlines AI’s promise in government services,https://fedscoop.com/video/gaos-lindsey-saul-outlines-ais-promise-in-government-services/,"This article discusses the potential of AI agents in enhancing government services, but does not describe a confirmed cyberattack, breach, or operational disruption at a named healthcare entity.","Lindsey Saul, Chief Data Officer for the U.S. Government Accountability Office, discussed the potential of AI agents in enhancing government services by improving efficiency and productivity, particularly in public sector services like tax returns an"
2026-05-12 21:12,FedScoop,Maryland’s Nishant Shah on practical Al applications in government,https://fedscoop.com/video/marylands-nishant-shah-on-practical-al-applications-in-government/,"This article discusses initiatives and collaborations related to AI and data analytics in the public sector, but does not describe a confirmed healthcare disruption or breach at a named entity.","Nishant Shah, Senior Advisor for Responsible AI for the State of Maryland, emphasized the importance of cross-agency and public-private collaboration in advancing AI and data analytics in the public sector. He highlighted initiatives including commun"
2026-05-12 21:12,FedScoop,Identity’s expanding and intricate role in enhancing the new administration’s government operations and public service,https://fedscoop.com/identitys-expanding-and-intricate-role-in-enhancing-the-new-administrations-government-operations-and-public-service/,"This article discusses the importance of identity in government operations and public service, but does not describe a real, occurring healthcare disruption or confirmed breach at a named healthcare entity.","AI’s continual evolution is forcing government leaders to rethink traditional identity frameworks to more proactively understand the role of identities, their underlying attributes, and how their interconnected nature can drive enterprise efficiency "
