date_accessed,date_published,source_name,subsector,title,direct_link,exec_summary,content_preview
2026-05-12 20:49,2024-10-29,CyberScoop,cyber_attack,Cyber insecurity now impacts the health and wellness of Americans. We need a clearer treatment plan.,https://cyberscoop.com/health-care-cybersecurity-mark-green-op-ed/,"A cyberattack on a hospital in Wichita, Kansas, and a health insurer, UnitedHealth, highlights the need for a clearer treatment plan to address growing healthcare data breaches.","When a hospital in Wichita, Kansas, faced dangerous disruptions to patient care in May, it was not due to the challenges one might expect, such as hospital-acquired infections or staffing shortages. Ascension Via Christi St. Joseph experienced a cybe"
2026-05-12 20:49,2024-10-22,CyberScoop,cyber_attack,Ransomware attacks on health care sector are driving increase in emergency patient care,https://cyberscoop.com/ransomware-attacks-health-care-emergency-visits-microsoft/,"Ransomware attacks on the health care sector are rising and putting lives at risk, led by Iranian hackers, Microsoft said in a report Tuesday.","Ransomware attacks on the health care sector are rising and putting lives at risk, led by Iranian hackers, Microsoft said in a report Tuesday. The report , which draws on both internal company data and external data, points to a 300% increase in rans"
2026-05-12 20:50,2024-09-19,CyberScoop,cyber_attack,UnitedHealth Group CISO: We had to ‘start over’ after Change Healthcare attack,https://cyberscoop.com/unitedhealth-group-steven-martin-ciso-ransomware-attack-recovery/,"UnitedHealth Group is still in the recovery process months after a ransomware attack on its Change Healthcare subsidiary, with its chief information security officer saying the company has essentially “started over” with regard to its computer systems.","DENVER — UnitedHealth Group is still in the recovery process months after a ransomware attack on its Change Healthcare subsidiary , with its chief information security officer saying the company has essentially “started over” with regard to its compu"
2026-05-12 20:50,2022-09-08,CyberScoop,cyber_attack,Health care IT workers report increased cyberattacks affecting patient care,https://cyberscoop.com/health-care-increased-cyberattacks/,Health care IT workers report increased cyberattacks affecting patient care; nearly 90% of facilities suffered a cyberattack in the past year.,"Nearly 90% of information technology professionals working in health care said their facilities suffered a cyberattack in the past year, according to a report out Thursday from the research organization Ponemon Institute. Many of them said the attack"
2026-05-12 20:50,2022-07-06,CyberScoop,cyber_attack,"FBI, CISA, Treasury: North Korean hackers taking aim at health care with Maui ransomware",https://cyberscoop.com/fbi-cisa-treasury-north-korea-ransomware-maui-alert-health-care/,"North Korean hackers are attacking the health care sector with ransomware, posing a significant risk to organizations of all sizes.","Three federal agencies said Wednesday that North Korean hackers have been attacking the health care sector with ransomware, and cautioned victims that paying up could run afoul of U.S. sanctions rules. The FBI, the Department of Homeland Security’s C"
2026-05-12 20:51,2021-11-10,CyberScoop,cyber_attack,Canadian health systems recovering from breach that forced thousands of appointment cancellations,https://cyberscoop.com/newfoundland-labrador-canada-cyberattack-health-it-systems/,"Intruders accessed patient and employee data after infiltrating health-related IT systems in a breach that’s only now coming into focus. A security incident affecting the province of Newfoundland and Labrador, first detected Oct. 30, took down multiple health networks, leading to the cancellation of thousands of appointments , including for chemotherapy treatments.","Intruders accessed patient and employee data after infiltrating health-related IT systems in a breach that’s only now coming into focus. A security incident affecting the province of Newfoundland and Labrador, first detected Oct. 30, took down multip"
2026-05-12 20:51,2021-11-08,CyberScoop,cyber_attack,"Hackers with Chinese links breach defense, energy targets, including one in US",https://cyberscoop.com/emissary-panda-apt27-palo-alto-networks/,"Suspected spies using similar tools and tactics to a Chinese government-connected hacking group compromised nine organizations in the defense, education, energy and health care industries across the globe beginning in September.","Suspected spies using similar tools and tactics to a Chinese government-connected hacking group compromised nine organizations in the defense, education, energy and health care industries across the globe beginning in September, according to new rese"
2026-05-12 20:52,2021-08-17,CyberScoop,cyber_attack,"BlackBerry’s popular operating system for medical devices affected by critical vulnerabilities, drawing fed warnings",https://cyberscoop.com/blackberry-badalloc-medical-vulnerability/,"BlackBerry’s popular operating system for medical devices affected by critical vulnerabilities, drawing fed warnings","A critical set of software flaws first revealed in April also affects code made by BlackBerry that is used in countless devices in the medical, automotive and energy sectors, the technology vendor confirmed on Tuesday. A hacker who exploits the so-ca"
2026-05-12 20:52,2021-08-03,CyberScoop,cyber_attack,Cyberattack knocks Italian vaccine registration portal offline,https://cyberscoop.com/italy-lazio-covid-19-vaccine-registration-system/,"A cyberattack over the weekend shut down the COVID-19 vaccination registration system for an Italian region that includes the city of Rome, officials there said.","A cyberattack over the weekend shut down the COVID-19 vaccination registration system for an Italian region that includes the city of Rome, officials there said. Nicola Zingaretti, president of the Lazio region, said in a Facebook post on Monday that"
2026-05-12 20:52,2021-06-02,CyberScoop,cyber_attack,"Sensitive medical, financial data exposed in extortion of Massachusetts hospital",https://cyberscoop.com/hospital-ransomare-payment-sturdy-memorial/,A hospital in Massachusetts quietly paid off a ransomware gang after a February hack that exposed patients’ sensitive medical and financial data.,"A hospital in Massachusetts quietly paid off a ransomware gang after a February hack that exposed patients’ sensitive medical and financial data, the hospital said in a May 28 statement. Sturdy Memorial Hospital, a 126-bed facility in the city of Att"
2026-05-12 20:52,2021-05-21,CyberScoop,cyber_attack,Irish officials analyze decryption tool as long recovery process from ransomware continues,https://cyberscoop.com/ireland-ransomware-hack-decryption/,"The Irish government expects to dedicate significant resources in the coming days to recovery efforts related to a ransomware incident that has hampered the country’s public health service for the last week, officials said Friday. Irish officials have obtained a decryption key that could unlock the data on the networks of the Health Service Executive (HSE), Ireland’s $25 billion public health system, though the key will need to be tested to ensure it does more good than harm.","The Irish government expects to dedicate significant resources in the coming days to recovery efforts related to a ransomware incident that has hampered the country’s public health service for the last week, officials said Friday. Irish officials hav"
2026-05-12 20:53,2021-05-21,CyberScoop,cyber_attack,"Conti ransomware gang victimized US health care, first-responder networks, FBI says",https://cyberscoop.com/conti-ransomware-hospital-fbi-alert/,"The FBI tracked at least 16 Conti ransomware attacks that struck U.S. health care and first-responder networks within the last year, the bureau said in an alert this week.","The FBI tracked at least 16 Conti ransomware attacks that struck U.S. health care and first-responder networks within the last year, the bureau said in an alert this week. That accounting only factors in attacks in the past year, and incidents that t"
2026-05-12 20:53,2021-05-20,CyberScoop,cyber_attack,‘Cybersecurity incident’ hampers non-urgent care at hospitals in New Zealand,https://cyberscoop.com/cybersecurity-incident-hampers-non-urgent-care-at-hospitals-in-new-zealand/,Health officials in New Zealand have been dealing with a “cybersecurity incident” that has hindered non-urgent care at multiple hospitals south of the capital of Auckland.,Health officials in New Zealand have for multiple days been dealing with a “cybersecurity incident” that has hindered non-urgent care at multiple hospitals south of the capital of Auckland. Local media are reporting that ransomware is the cause. The 
2026-05-12 20:53,2021-05-19,CyberScoop,cyber_attack,"Irish officials warn of ongoing disruptions to health system, long recovery following ransomware incident",https://cyberscoop.com/ireland-ransomware-health-conti-recovery/,Irish officials say it will take “many weeks” to fully restore the IT infrastructure of the country’s $25 billion public health system following a ransomware attack last week.,"Irish officials say it will take “many weeks” to fully restore the IT infrastructure of the country’s $25 billion public health system following a ransomware attack last week. While emergency departments continue to operate normally, Ireland’s Health"
2026-05-12 20:53,2021-05-17,CyberScoop,cyber_attack,Irish Prime Minister says government won’t pay ransom after hack forces hospitals to alter services,https://cyberscoop.com/ireland-ransomware-hse-hospitals-offline/,"Ireland’s public health care system shut down its IT systems in response to a “criminal ransomware attack” on the Health Service Executive (HSE), forcing hospitals to alter services.","Ireland’s public health care system on Friday shut down its IT systems in response to what it called a “criminal ransomware attack.” Emergency departments have continued to operate normally, but health officials said in a statement Monday that they w"
2026-05-12 20:54,2021-05-11,CyberScoop,cyber_attack,"Colonial Pipeline didn’t tell CISA about ransomware incident, highlighting questions about information sharing",https://cyberscoop.com/colonial-pipeline-senate-homeland-solarwinds/,"Colonial Pipeline didn’t notify the Homeland Security Department’s Cybersecurity and Infrastructure Security Agency of its ransomware incident, highlighting questions about information sharing.","Colonial Pipeline didn’t notify the Homeland Security Department’s Cybersecurity and Infrastructure Security Agency of its ransomware incident, and CISA still didn’t have technical details about the attack as of Tuesday morning, the agency’s top offi"
2026-05-12 20:54,2021-05-04,CyberScoop,cyber_attack,"Hackers disrupt networks at San Diego medical provider, Kansas organ transplant facilitator",https://cyberscoop.com/cybercriminals-ransomware-health-care-scripps/,A pair of hacks at health care organizations revealed in recent days highlights the enduring cybercriminal threat to the sector as the U.S. makes progress in fighting the coronavirus pandemic.,"A pair of hacks at health care organizations revealed in recent days highlights the enduring cybercriminal threat to the sector as the U.S. makes progress in fighting the coronavirus pandemic. Scripps Health, a San Diego-based nonprofit system with f"
2026-05-12 20:55,2021-03-01,CyberScoop,cyber_attack,Universal Health Services reports $67 million in losses after apparent ransomware attack,https://cyberscoop.com/universal-health-services-ransomware-cost-ryuk/,"An apparent ransomware attack last fall caused $67 million in pre-tax losses at Universal Health Services, the U.S. health care provider has revealed, illustrating the sharp financial toll that criminal hackers have caused the sector during the pandemic.","An apparent ransomware attack last fall caused $67 million in pre-tax losses at Universal Health Services, the U.S. health care provider has revealed, illustrating the sharp financial toll that criminal hackers have caused the sector during the pande"
2026-05-12 20:55,2020-12-08,CyberScoop,cyber_attack,"Bug could expose patient data from GE medical imaging devices, researchers warn",https://cyberscoop.com/bug-could-expose-patient-data-from-ge-medical-imaging-devices-researchers-warn/,"Security researchers have discovered a software vulnerability that could allow an attacker to steal sensitive patient data handled by X-ray, MRI machines and other medical devices made by General Electric.","Security researchers have discovered a software vulnerability that could allow an attacker to steal sensitive patient data handled by X-ray, MRI machines and other medical devices made by General Electric. All told, the issue affects more than 100 mo"
2026-05-12 20:55,2020-12-07,CyberScoop,cyber_attack,Ransomware attack may delay scheduled procedures at Baltimore-area medical center,https://cyberscoop.com/ransomware-attack-may-delay-procedures-at-baltimore-area-medical-center/,The Greater Baltimore Medical Center on Sunday became the latest U.S. hospital to grapple with a ransomware incident amid a raging pandemic that has stretched health care IT resources thin.,The Greater Baltimore Medical Center on Sunday became the latest U.S. hospital to grapple with a ransomware incident amid a raging pandemic that has stretched health care IT resources thin. The ransomware attack caused “many of our [IT] systems” to g
2026-05-12 20:56,2020-11-09,CyberScoop,cyber_attack,"Cyberattack on U. of Vermont hospital IT network delays chemotherapy, mammogram appointments",https://cyberscoop.com/vermont-hospital-cyberattack-chemotherapy/,"A cyberattack at the University of Vermont Health Network has forced one of the network’s hospitals to delay chemotherapy and mammogram appointments, making it the latest example of how cybercriminals can impact patient care.","A cyberattack at the University of Vermont Health Network has forced one of the network’s hospitals to delay chemotherapy and mammogram appointments, making it the latest example of how cybercriminals can impact patient care. The disruption of comput"
2026-05-12 20:56,2020-11-04,CyberScoop,cyber_attack,"Ransomware attacks grow more menacing during the pandemic, creating headaches in health sector",https://cyberscoop.com/health-care-ransomware-coronavirus-ryuk/,"Ransomware attacks grow more menacing during the pandemic, creating headaches in health sector; numerous health care organizations have endured their own version of that jarring experience.","Steve Giles was having dinner in the Los Angeles area on Friday, Feb. 5, 2016, when he received an ominous phone call. The computer networks of Hollywood Presbyterian Medical Center, the 434-bed hospital where Giles was the chief information officer,"
2026-05-12 20:57,2020-10-29,CyberScoop,cyber_attack,Why the extortion of Vastaamo matters far beyond Finland — and how cyber pros are responding,https://cyberscoop.com/finland-vastaamo-hack-response/,"The extortion of Vastaamo, a psychotherapy practice in Finland, has been unusual and disturbing, with attackers demanding ransoms from individual people and leveraging sensitive medical data.","Even for veterans of cybercriminal investigations, the recent extortion of a psychotherapy practice in Finland has been unusual — and disturbing. Rather than sticking only to the common tactic of trying to shake down a breached organization, the atta"
2026-05-12 20:57,2020-10-28,CyberScoop,cyber_attack,"European ransomware group strikes US hospital networks, analysts warn",https://cyberscoop.com/ransomware-hospitals-ryuk-fireeye/,"An Eastern European cybercriminal group has conducted ransomware attacks at multiple U.S. hospitals in recent days, forcing them to divert patients to other healthcare providers.","An Eastern European cybercriminal group has conducted ransomware attacks at multiple U.S. hospitals in recent days in some of the most disruptive cyber-activity in the sector during the coronavirus pandemic, cybersecurity company FireEye said Wednesd"
2026-05-12 20:57,2020-10-26,CyberScoop,cyber_attack,Data breach at Finnish psychotherapy center takes a darker turn with extortion attempts,https://cyberscoop.com/finnish-psychotherapy-data-breach-vastaamo/,"A data breach at Vastaamo, a prominent Finnish psychotherapy practice, has taken a darker turn with extortion attempts after patient information was posted on the dark web.",The response to a data breach at a prominent Finnish psychotherapy practice intensified over the weekend after cybercriminals reportedly posted batches of patient information on the dark web and claimed that individual people could protect their data
2026-05-12 20:57,2020-09-29,CyberScoop,cyber_attack,Ohio medical center offline following another security incident in the health sector,https://cyberscoop.com/ohio-medical-hack-ransomware/,A cybersecurity incident has forced the computer systems of an Ohio medical center offline for multiple days and prompted the clinic to postpone elective procedures for patients.,"A cybersecurity incident has forced the computer systems of an Ohio medical center offline for multiple days and prompted the clinic to postpone elective procedures for patients. A statement Tuesday from the Ashtabula County Medical Center, which inc"
2026-05-12 20:58,2020-09-21,CyberScoop,cyber_attack,"German investigators treating ransomware attack as negligent homicide, reports say",https://cyberscoop.com/germany-ransomware-homicide-duesseldorf-hospital/,"German prosecutors last week opened a homicide investigation into a deadly ransomware incident on a university hospital, according to multiple German media reports.","German prosecutors last week opened a homicide investigation into a deadly ransomware incident on a university hospital, according to multiple German media reports. If confirmed, it would be the first documented case of a death stemming, directly or "
2026-05-12 20:58,2020-08-20,CyberScoop,cyber_attack,"Weeks after malware disruption, New York hospital is getting back online",https://cyberscoop.com/samaritan-medical-center-new-york-malware-recovery/,A 290-bed medical facility in upstate New York has been grappling with a cybersecurity incident that prevented doctors from accessing patients’ electronic medical records (EMRs) for three weeks.,"For three weeks, a 290-bed medical facility in upstate New York has been grappling with a cybersecurity incident that prevented doctors from accessing patients’ electronic medical records (EMRs). The EMRs and payroll and accounting systems are now ba"
2026-05-12 20:59,2020-07-23,CyberScoop,cyber_attack,Garmin mobile app down amid possible ransomware attack,https://cyberscoop.com/garmin-outage-ransomware-wastedlocker/,Garmin's mobile application and services are currently experiencing outages amid reports that the smartwatch and wearables company is suffering from a ransomware attack.,Garmin’s mobile application and services are currently experiencing outages amid reports that the smartwatch and wearables company is suffering from a ransomware attack. Garmin confirmed on Twitter and its website that its mobile app is down and that
2026-05-12 20:59,2020-06-19,CyberScoop,cyber_attack,Philadelphia-area health system says it ‘isolated’ a malware attack,https://cyberscoop.com/crozer-keystone-cyber-attack-netwalker-ransomware/,"A malware attack hit computer systems at Crozer-Keystone Health System, a large health care provider in the Philadelphia suburbs.","A “malware attack” has hit computer systems at Crozer-Keystone Health System, a large health care provider in the Philadelphia suburbs, a spokesman for the organization said Friday. “After quickly identifying a recent malware attack, the Crozer-Keyst"
2026-05-12 21:00,2020-05-15,CyberScoop,cyber_attack,Romanian police bust hackers allegedly plotting ransomware attacks on hospitals,https://cyberscoop.com/romania-ransomware-hospitals-coronavirus/,Romanian authorities said Friday they had disrupted a cybercriminal group that planned to conduct ransomware attacks on hospitals in the country.,Romanian authorities said Friday they had disrupted a cybercriminal group that planned to conduct ransomware attacks on hospitals in the country. The hackers intended to pose as government officials and send malicious emails to public health institut
2026-05-12 21:01,2020-05-06,CyberScoop,cyber_attack,European health care giant Fresenius Group grappling with computer virus,https://cyberscoop.com/fresenius-health-care-cyberattack-coronavirus/,"Fresenius Group, a big European health care conglomerate, said Wednesday that a computer virus had infected at least one of its businesses' IT systems.","Fresenius Group, a big European health care conglomerate, said Wednesday that a computer virus had infected at least one of its businesses’ IT systems. It’s another sign that malicious hackers see medical organizations as fair game despite a global h"
