date_accessed,date_published,source_name,subsector,title,direct_link,exec_summary,content_preview
2026-05-12 21:11,2025-08-26,FedScoop,cyber_attack,"DOGE employees uploaded Social Security database to ‘vulnerable’ cloud, agency whistleblower says",https://fedscoop.com/doge-social-security-database-whistleblower-cloud-environment-data-vulnerabilities/,"DOGE employees uploaded Social Security database to ‘vulnerable’ cloud, agency whistleblower says","Department of Government Efficiency members stored a copy of a massive Social Security Administration database in a “vulnerable” custom cloud environment, putting more than 300 million people’s personal information at risk, the agency’s chief data of"
2026-05-12 21:13,2024-09-24,FedScoop,cyber_attack,Watchdog flags major incidents for VA’s electronic health record system,https://fedscoop.com/watchdog-flags-major-incidents-for-vas-electronic-health-record-system/,"The Department of Veterans Affairs has neglected to put in the proper controls for its Oracle Cerner electronic health record system to adequately prevent and respond to major incidents, according to a new audit from the agency’s Office of Inspector General.","The Department of Veterans Affairs has neglected to put in the proper controls for its Oracle Cerner electronic health record system to adequately prevent and respond to major incidents, according to a new audit from the agency’s Office of Inspector "
2026-05-12 21:16,2023-04-21,FedScoop,cyber_attack,VA suspends rollout of Oracle Cerner electronic health record system as part of major ‘reset’,https://fedscoop.com/va-halts-rollout-of-oracle-cerner-electronic-health-record-system-as-part-of-major-reset/,"The Department of Veterans Affairs has stopped all further implementation of the Oracle Cerner-run electronic health record platform as part of a major reset of the modernization project, the agency announced Friday.","The Department of Veterans Affairs has stopped all further implementation of the Oracle Cerner-run electronic health record platform as part of a major reset of the modernization project, the agency announced Friday. The system will not be brought on"
2026-05-12 21:16,2023-04-18,FedScoop,cyber_attack,VA electronic health record system hit with five-hour incident,https://fedscoop.com/va-electronic-ehr-hit-with-five-hour-incident/,"The Department of Veterans Affairs’ electronic health record system was hit yesterday with a five-hour service disruption, Clinicians using the Oracle Cerner-operated platform experienced latency issues and freezing when using PowerChart, RevCycle and other applications.","The Department of Veterans Affairs’ electronic health record system was hit yesterday with a five-hour service disruption, FedScoop has learned. Clinicians using the Oracle Cerner -operated platform experienced latency issues and freezing when using "
2026-05-12 21:17,2022-12-16,FedScoop,cyber_attack,"CMS subcontractor breach potentially exposes data of 254,000 Medicaid beneficiaries",https://fedscoop.com/cms-subcontractor-data-breach/,"A Centers for Medicare and Medicaid Services subcontractor experienced a breach that may have exposed Medicare beneficiaries’ banking information, Social Security Numbers and other sensitive data.","A Centers for Medicare and Medicaid Services subcontractor experienced a breach that may have exposed Medicare beneficiaries’ banking information, Social Security Numbers and other sensitive data, the agency announced Wednesday. Healthcare Management"
2026-05-12 21:18,2022-10-07,FedScoop,cyber_attack,VA’s electronic health records system hit with pharmacy module outage,https://fedscoop.com/vas-electronic-health-records-system-hit-with-pharmacy-module-outage/,"The Department of Veterans Affairs' electronic health records platform was hit with an outage Thursday that affected pharmacy services, FedScoop understands.","The Department of Veterans Affairs’ electronic health records platform was hit with an outage Thursday that affected pharmacy services, FedScoop understands. According to government sources, electronic health record pharmacy services were unavailable"
2026-05-12 21:19,2022-07-21,FedScoop,cyber_attack,VA delays Cerner EHR rollout to Boise due to major stability issues,https://fedscoop.com/veteran-affairs-rollout-of-electronic-health-record-system-ehr-delayed-due-to-major-stability-issues/,The Department of Veterans Affairs said Wednesday that the rollout of its electronic health record system (EHR) at the Boise VA Medical Center and other centers has been postponed indefinitely due to long-identified issues with the program’s reliability and safety that could put veterans in danger.,The Department of Veterans Affairs said Wednesday that the rollout of its electronic health record system (EHR) at the Boise VA Medical Center and other centers has been postponed indefinitely due to long-identified issues with the program’s reliabil
2026-05-12 21:20,2022-04-26,FedScoop,cyber_attack,VA electronic health record system hit with further outages at Walla Walla site,https://fedscoop.com/va-electronic-health-record-system-hit-with-further-outages-at-walla-walla-site/,The Department of Veterans Affairs’ electronic health record system has suffered two further outages. VA and Cerner executives told lawmakers Tuesday that the EHR system went down Monday for about 127 minutes and said they were continuing to investigate the cause of a second incident that took place today.,The Department of Veterans Affairs’ electronic health record system has suffered two further outages. VA and Cerner executives told lawmakers Tuesday that the EHR system went down Monday for about 127 minutes and said they were continuing to investig
2026-05-12 21:21,2022-03-21,FedScoop,cyber_attack,VA and Cerner to investigate cause of Spokane electronic health records outage,https://fedscoop.com/spokane-va-ehr-cerner-bug/,The Department of Veterans Affairs and medical records company Cerner will perform a “full root cause analysis” and establish an action plan to prevent further outages after an electronic health records system was affected by a software bug earlier this month.,The Department of Veterans Affairs and medical records company Cerner will perform a “full root cause analysis” and establish an action plan to prevent further outages after an electronic health records system was affected by a software bug earlier t
2026-05-12 21:22,2022-01-14,FedScoop,cyber_attack,VA delays Ohio EHR implementation amid COVID-19 surge,https://fedscoop.com/va-delays-ohio-ehr-implementation-amid-covid-19-surge/,The Department of Veterans Affairs will delay the rollout of its new electronic health record (EHR) system because of surging COVID-19 cases at its medical network in central Ohio.,"The Department of Veterans Affairs will delay the rollout of its new electronic health record (EHR) system because of surging COVID-19 cases at its medical network in central Ohio. In a statement on Friday, the VA said it had decided to pause impleme"
